,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,Total AandE Attends,label_with_sum,label_with_sum_categorical
84,16605.0,14695.0,1910.0,11545.0,22655,20063.43,25121.0,3,grp_3
85,7890.0,7085.0,805.0,5485.0,9468,8456.45,20661.0,0,grp_0
86,4205.0,3990.0,215.0,2030.0,5472,4677.68,8378.0,2,grp_2
87,10105.0,8975.0,1130.0,9005.0,13961,12090.62,25686.0,3,grp_3
88,12935.0,11420.0,1515.0,8770.0,16763,14747.33,20020.0,3,grp_3
89,11135.0,9975.0,1160.0,7260.0,11372,10091.39,19602.0,0,grp_0
90,4765.0,4310.0,455.0,2860.0,5761,4932.17,13241.0,1,grp_1
91,5950.0,5475.0,475.0,6825.0,6817,5912.09,15541.0,1,grp_1
92,5730.0,5130.0,600.0,3405.0,6105,5493.19,13392.0,1,grp_1
93,7010.0,6585.0,425.0,3610.0,6467,5707.94,10432.0,1,grp_1
94,4205.0,3830.0,375.0,2590.0,6152,5354.73,7981.0,2,grp_2
95,4975.0,4505.0,470.0,4040.0,6560,5780.26,12748.0,1,grp_1
96,6310.0,5910.0,400.0,3670.0,7901,7012.65,21110.0,0,grp_0
97,5215.0,4455.0,760.0,4455.0,6937,5855.2,14090.0,1,grp_1
98,5140.0,4820.0,320.0,3525.0,6542,5767.64,12229.0,1,grp_1
99,6690.0,5595.0,1095.0,6430.0,9231,8104.33,9074.0,1,grp_1
100,4455.0,4125.0,330.0,1995.0,6680,5820.29,9361.0,1,grp_1
101,475.0,365.0,110.0,230.0,6750,5865.19,2144.0,2,grp_2
102,7435.0,5725.0,1710.0,5175.0,19924,17745.1,25895.0,3,grp_3
103,5055.0,4465.0,590.0,3860.0,6770,5733.76,9562.0,1,grp_1
104,6505.0,5960.0,545.0,4835.0,9402,8100.61,19320.0,0,grp_0
105,3635.0,3270.0,365.0,2545.0,7135,6118.06,9406.0,1,grp_1
106,5745.0,5290.0,455.0,4435.0,6834,5806.5,11697.0,1,grp_1
107,7800.0,7335.0,465.0,4690.0,8931,7730.59,17396.0,0,grp_0
108,9010.0,7255.0,1755.0,10830.0,17684,15295.94,17631.0,3,grp_3
109,6200.0,5095.0,1105.0,6115.0,10057,8881.87,13497.0,1,grp_1
110,6105.0,5445.0,660.0,5435.0,9120,7927.94,17488.0,0,grp_0
111,3035.0,2535.0,500.0,2620.0,7112,6113.59,10642.0,1,grp_1
112,6885.0,6445.0,440.0,3820.0,7121,6282.34,12322.0,1,grp_1
113,8745.0,7160.0,1585.0,9925.0,16244,14210.83,18441.0,3,grp_3
114,7540.0,7045.0,495.0,4140.0,7176,6484.66,17712.0,0,grp_0
115,7050.0,6440.0,610.0,6425.0,9775,8336.57,16739.0,0,grp_0
116,4460.0,4030.0,430.0,4510.0,8103,7270.67,17554.0,0,grp_0
117,4270.0,3885.0,385.0,3290.0,7392,6360.13,9749.0,1,grp_1
118,6125.0,5635.0,490.0,3595.0,7526,6699.57,10661.0,1,grp_1
119,6645.0,5830.0,815.0,4385.0,9885,8796.89,15155.0,0,grp_0
120,6120.0,5115.0,1005.0,4425.0,9906,8737.06,13481.0,1,grp_1
121,7875.0,6675.0,1200.0,7075.0,14227,12893.02,23844.0,3,grp_3
122,4605.0,4135.0,470.0,3760.0,8139,7178.42,11259.0,1,grp_1
123,9090.0,6610.0,2480.0,8665.0,28528,25871.94,34661.0,3,grp_3
124,7305.0,6730.0,575.0,5205.0,8369,7473.5,12929.0,1,grp_1
125,9255.0,8100.0,1155.0,8590.0,20092,17982.1,27365.0,3,grp_3
126,7135.0,6270.0,865.0,5400.0,11120,10062.66,21602.0,0,grp_0
127,10015.0,8725.0,1290.0,6305.0,13661,12353.84,13517.0,0,grp_0
128,7650.0,6335.0,1315.0,5100.0,13053,11757.71,11401.0,1,grp_1
129,11915.0,10455.0,1460.0,8925.0,16341,14376.49,25731.0,3,grp_3
131,2055.0,1875.0,180.0,2345.0,3289,2887.89,6636.0,2,grp_2
