Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE Attends Type1,Total AandE Attends
RXP,44985,5910,400,6310,3670,7901,7012.65,10986,21110
RP5,44985,4455,760,5215,4455,6937,5855.2,11215,14090
RXQ,44985,4820,320,5140,3525,6542,5767.64,8474,12229
RWA,44985,5595,1095,6690,6430,9231,8104.33,9074,9074
RMC,44985,4125,330,4455,1995,6680,5820.29,7637,9361
RW1,44985,365,110,475,230,6750,5865.19,0,2144
RR8,44985,5725,1710,7435,5175,19924,17745.1,15539,25895
RBL,44985,4465,590,5055,3860,6770,5733.76,6989,9562
RXF,44985,5960,545,6505,4835,9402,8100.61,14207,19320
RNN,44985,3270,365,3635,2545,7135,6118.06,7634,9406
RJL,44985,5290,455,5745,4435,6834,5806.5,11697,11697
RTF,44985,7335,465,7800,4690,8931,7730.59,7986,17396
RHQ,44985,7255,1755,9010,10830,17684,15295.94,8254,17631
RTR,44985,5095,1105,6200,6115,10057,8881.87,8848,13497
R0B,44985,5445,660,6105,5435,9120,7927.94,10642,17488
RRF,44985,2535,500,3035,2620,7112,6113.59,6918,10642
RBN,44985,6445,440,6885,3820,7121,6282.34,8770,12322
RTD,44985,7160,1585,8745,9925,16244,14210.83,10905,18441
RWF,44985,7045,495,7540,4140,7176,6484.66,15554,17712
RCB,44985,6440,610,7050,6425,9775,8336.57,8376,16739
RXL,44985,4030,430,4460,4510,8103,7270.67,7351,17554
RTX,44985,3885,385,4270,3290,7392,6360.13,7260,9749
RN5,44985,5635,490,6125,3595,7526,6699.57,10196,10661
RXR,44985,5830,815,6645,4385,9885,8796.89,9115,15155
RXN,44985,5115,1005,6120,4425,9906,8737.06,10254,13481
REM,44985,6675,1200,7875,7075,14227,12893.02,15469,23844
RXC,44985,4135,470,4605,3760,8139,7178.42,8396,11259
R0A,44985,6610,2480,9090,8665,28528,25871.94,21588,34661
RHU,44985,6730,575,7305,5205,8369,7473.5,9319,12929
RM3,44985,8100,1155,9255,8590,20092,17982.1,21013,27365
RVV,44985,6270,865,7135,5400,11120,10062.66,11067,21602
RTH,44985,8725,1290,10015,6305,13661,12353.84,11384,13517
RHM,44985,6335,1315,7650,5100,13053,11757.71,10089,11401
RYR,44985,10455,1460,11915,8925,16341,14376.49,22037,25731
RJ8,44985,220,150,370,0,4563,3897.73,0,0
RBD,44985,1875,180,2055,2345,3289,2887.89,3757,6636
RDY,44985,105,65,170,0,6621,5384.37,0,0
RTE,44985,6685,940,7625,5000,8592,7413.15,10711,10711
RN3,44985,3805,505,4310,2985,5462,4760.65,4474,9018
RVJ,44985,6730,830,7560,4530,9495,8335.61,7272,7272
REF,44985,4345,835,5180,4810,7004,6184.12,5244,14418
RH8,44985,7275,1050,8325,7320,12834,11113.22,10841,13384
RD1,44985,4435,350,4785,2775,6274,5414.43,7191,7191
RNZ,44985,2320,275,2595,1775,4004,3509.05,3780,5619
RH5,44985,4085,385,4470,3520,10126,8804.71,5915,13625
RA9,44985,2890,260,3150,3025,7058,6040.28,5208,7654
RA7,44985,6515,930,7445,5970,12118,10593.35,12729,14831
R0D,44985,6560,940,7500,6310,9327,8190.21,11498,11498
RK9,44985,5045,820,5865,4575,9988,8800.93,7177,10969
RA4,44985,2060,200,2260,1485,2795,2462.47,5040,5040
RRJ,44985,20,520,540,565,1236,1099.11,,
REN,44985,110,75,185,265,1765,1629,,
RLY,44985,35,65,100,,1828,1623.7,,
RGM,44985,360,490,850,815,2000,1856.07,,
RY3,44985,135,65,200,0,2445,2131.35,,
RQY,44985,30,20,50,0,2770,2532.75,,
RXM,44985,95,0,95,0,3028,2662.98,,
RXX,44985,110,0,110,0,3192,2904.84,,
TAD,44985,50,,50,0,3234,2871.34,,
RY6,44985,0,0,,0,3289,2837.37,,
RXE,44985,35,115,150,0,3749,3254.84,,
R1C,44985,100,0,100,0,4242,3555.05,,
RPG,44985,55,30,85,0,4460,4041.18,,
RPY,44985,165,565,730,5705,4463,4157.8,,
R1A,44985,260,135,395,0,4553,3786,,
RVN,44985,45,70,115,0,4674,4025.29,,
RP1,44985,,,,0,4726,4135.86,,
RYW,44985,500,0,500,0,4978,4277.72,,
RP4,44985,210,910,1120,2430,5517,5127.75,,
RX2,44985,,,,0,5845,5171.57,,
RT5,44985,255,,255,0,6051,5296.76,,
R1L,44985,155,,155,0,6259,5511.08,,
RWK,44985,180,95,275,0,6920,6423.22,,
RW5,44985,50,,50,0,7384,6679.54,,
RX4,44985,130,35,165,0,7989,7309.01,,
RV3,44985,470,55,525,0,8052,7342.82,,
RHA,44985,30,180,210,0,9091,8024.17,,
RRE,44985,255,50,305,380,9395,8191.56,,
