Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE
RBL,28/2/2023,4465,590,"5,055",3860,6770,5733.7628
RWP,28/2/2023,5475,475,"5,950",6825,6817,5912.09309
RJL,28/2/2023,5290,455,"5,745",4435,6834,5806.50415
RAT,28/2/2023,290,440,730,10,6855,6138.96827
RWK,28/2/2023,180,95,275,0,6920,6423.21633
RP5,28/2/2023,4455,760,"5,215",4455,6937,5855.19882
RVR,28/2/2023,2740,600,"3,340",2990,6938,6192.3955
REF,28/2/2023,4345,835,"5,180",4810,7004,6184.11596
RA9,28/2/2023,2890,260,"3,150",3025,7058,6040.27759
RRF,28/2/2023,2535,500,"3,035",2620,7112,6113.58563
RBN,28/2/2023,6445,440,"6,885",3820,7121,6282.33644
RNN,28/2/2023,3270,365,"3,635",2545,7135,6118.05991
RGN,28/2/2023,5820,425,"6,245",4585,7171,6438.04626
RWF,28/2/2023,7045,495,"7,540",4140,7176,6484.66063
RXW,28/2/2023,5475,330,"5,805",5270,7220,6286.2747
RJ2,28/2/2023,6325,360,"6,685",3885,7222,6637.77281
RW5,28/2/2023,50,NULL,50,0,7384,6679.54356
RTX,28/2/2023,3885,385,"4,270",3290,7392,6360.13252
RN5,28/2/2023,5635,490,"6,125",3595,7526,6699.56543
RXK,28/2/2023,4585,545,"5,130",3180,7565,6715.03076
RF4,28/2/2023,6085,680,"6,765",4065,7821,7255.69446
RXP,28/2/2023,5910,400,"6,310",3670,7901,7012.64783
RX4,28/2/2023,130,35,165,0,7989,7309.00999
RV3,28/2/2023,470,55,525,0,8052,7342.82357
RXL,28/2/2023,4030,430,"4,460",4510,8103,7270.66905
RXC,28/2/2023,4135,470,"4,605",3760,8139,7178.4157
R1K,28/2/2023,8145,810,"8,955",5990,8234,7752.52032
RC9,28/2/2023,7170,835,"8,005",5415,8246,7486.10428
RHU,28/2/2023,6730,575,"7,305",5205,8369,7473.49642
RTE,28/2/2023,6685,940,"7,625",5000,8592,7413.14903
RWD,28/2/2023,5415,605,"6,020",4880,8880,7717.92561
RTF,28/2/2023,7335,465,"7,800",4690,8931,7730.59284
RHA,28/2/2023,30,180,210,0,9091,8024.17257
RM1,28/2/2023,5345,860,"6,205",7575,9095,7963.14644
R0B,28/2/2023,5445,660,"6,105",5435,9120,7927.94062
RWA,28/2/2023,5595,1095,"6,690",6430,9231,8104.3332
R0D,28/2/2023,6560,940,"7,500",6310,9327,8190.20823
RRE,28/2/2023,255,50,305,380,9395,8191.55816
