Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE_Attends_Type1
RW5,44985,50,,50,0,7384,6679.54,
RTX,44985,3885,385,4270,3290,7392,6360.13,7260
RN5,44985,5635,490,6125,3595,7526,6699.57,10196
RXK,44985,4585,545,5130,3180,7565,6715.03,12675
RF4,44985,6085,680,6765,4065,7821,7255.69,10592
RXP,44985,5910,400,6310,3670,7901,7012.65,10986
RX4,44985,130,35,165,0,7989,7309.01,
RV3,44985,470,55,525,0,8052,7342.82,
RXL,44985,4030,430,4460,4510,8103,7270.67,7351
RXC,44985,4135,470,4605,3760,8139,7178.42,8396
R1K,44985,8145,810,8955,5990,8234,7752.52,11865
RC9,44985,7170,835,8005,5415,8246,7486.1,
RHU,44985,6730,575,7305,5205,8369,7473.5,
RTE,44985,6685,940,7625,5000,8592,7413.15,10711
RWD,44985,5415,605,6020,4880,8880,7717.93,11128
RTF,44985,7335,465,7800,4690,8931,7730.59,7986
RHA,44985,30,180,210,0,9091,8024.17,
RM1,44985,5345,860,6205,7575,9095,7963.15,9373
R0B,44985,5445,660,6105,5435,9120,7927.94,10642
RWA,44985,5595,1095,6690,6430,9231,8104.33,9074
R0D,44985,6560,940,7500,6310,9327,8190.21,
RRE,44985,255,50,305,380,9395,8191.56,
RXF,44985,5960,545,6505,4835,9402,8100.61,
RKB,44985,7085,805,7890,5485,9468,8456.45,10675
RVJ,44985,6730,830,7560,4530,9495,8335.61,7272
RJ7,44985,4100,890,4990,3830,9644,9134.17,8420
RCB,44985,6440,610,7050,6425,9775,8336.57,8376
RXR,44985,5830,815,6645,4385,9885,8796.89,9115
RXN,44985,5115,1005,6120,4425,9906,8737.06,10254
RK9,44985,5045,820,5865,4575,9988,8800.93,
RTR,44985,5095,1105,6200,6115,10057,8881.87,8848
RH5,44985,4085,385,4470,3520,10126,8804.71,5915
