,Org_Code,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE Attends Type1,label,label_categorical
85,RKB,7890.0,7085.0,805.0,5485.0,9468,8456.45,10675.0,0,Cluster_0
86,RBT,4205.0,3990.0,215.0,2030.0,5472,4677.68,6082.0,3,Cluster_3
87,RTG,10105.0,8975.0,1130.0,9005.0,13961,12090.62,13658.0,2,Cluster_2
88,RWE,12935.0,11420.0,1515.0,8770.0,16763,14747.33,18360.0,1,Cluster_1
89,RJE,11135.0,9975.0,1160.0,7260.0,11372,10091.39,12025.0,2,Cluster_2
90,RVW,4765.0,4310.0,455.0,2860.0,5761,4932.17,3593.0,3,Cluster_3
91,RWP,5950.0,5475.0,475.0,6825.0,6817,5912.09,10691.0,0,Cluster_0
92,RHW,5730.0,5130.0,600.0,3405.0,6105,5493.19,11099.0,0,Cluster_0
93,RAE,7010.0,6585.0,425.0,3610.0,6467,5707.94,9286.0,0,Cluster_0
94,RWJ,4205.0,3830.0,375.0,2590.0,6152,5354.73,7981.0,3,Cluster_3
95,RWY,4975.0,4505.0,470.0,4040.0,6560,5780.26,12748.0,0,Cluster_0
96,RXP,6310.0,5910.0,400.0,3670.0,7901,7012.65,10986.0,0,Cluster_0
97,RP5,5215.0,4455.0,760.0,4455.0,6937,5855.2,11215.0,0,Cluster_0
98,RXQ,5140.0,4820.0,320.0,3525.0,6542,5767.64,8474.0,0,Cluster_0
99,RWA,6690.0,5595.0,1095.0,6430.0,9231,8104.33,9074.0,0,Cluster_0
100,RMC,4455.0,4125.0,330.0,1995.0,6680,5820.29,7637.0,3,Cluster_3
102,RR8,7435.0,5725.0,1710.0,5175.0,19924,17745.1,15539.0,1,Cluster_1
103,RBL,5055.0,4465.0,590.0,3860.0,6770,5733.76,6989.0,3,Cluster_3
104,RXF,6505.0,5960.0,545.0,4835.0,9402,8100.61,14207.0,0,Cluster_0
105,RNN,3635.0,3270.0,365.0,2545.0,7135,6118.06,7634.0,3,Cluster_3
106,RJL,5745.0,5290.0,455.0,4435.0,6834,5806.5,11697.0,0,Cluster_0
107,RTF,7800.0,7335.0,465.0,4690.0,8931,7730.59,7986.0,0,Cluster_0
108,RHQ,9010.0,7255.0,1755.0,10830.0,17684,15295.94,8254.0,2,Cluster_2
109,RTR,6200.0,5095.0,1105.0,6115.0,10057,8881.87,8848.0,0,Cluster_0
110,R0B,6105.0,5445.0,660.0,5435.0,9120,7927.94,10642.0,0,Cluster_0
111,RRF,3035.0,2535.0,500.0,2620.0,7112,6113.59,6918.0,3,Cluster_3
112,RBN,6885.0,6445.0,440.0,3820.0,7121,6282.34,8770.0,0,Cluster_0
113,RTD,8745.0,7160.0,1585.0,9925.0,16244,14210.83,10905.0,2,Cluster_2
114,RWF,7540.0,7045.0,495.0,4140.0,7176,6484.66,15554.0,0,Cluster_0
115,RCB,7050.0,6440.0,610.0,6425.0,9775,8336.57,8376.0,0,Cluster_0
116,RXL,4460.0,4030.0,430.0,4510.0,8103,7270.67,7351.0,0,Cluster_0
117,RTX,4270.0,3885.0,385.0,3290.0,7392,6360.13,7260.0,3,Cluster_3
118,RN5,6125.0,5635.0,490.0,3595.0,7526,6699.57,10196.0,0,Cluster_0
119,RXR,6645.0,5830.0,815.0,4385.0,9885,8796.89,9115.0,0,Cluster_0
120,RXN,6120.0,5115.0,1005.0,4425.0,9906,8737.06,10254.0,0,Cluster_0
121,REM,7875.0,6675.0,1200.0,7075.0,14227,12893.02,15469.0,2,Cluster_2
122,RXC,4605.0,4135.0,470.0,3760.0,8139,7178.42,8396.0,0,Cluster_0
123,R0A,9090.0,6610.0,2480.0,8665.0,28528,25871.94,21588.0,1,Cluster_1
124,RHU,7305.0,6730.0,575.0,5205.0,8369,7473.5,9319.0,0,Cluster_0
125,RM3,9255.0,8100.0,1155.0,8590.0,20092,17982.1,21013.0,1,Cluster_1
126,RVV,7135.0,6270.0,865.0,5400.0,11120,10062.66,11067.0,2,Cluster_2
127,RTH,10015.0,8725.0,1290.0,6305.0,13661,12353.84,11384.0,2,Cluster_2
128,RHM,7650.0,6335.0,1315.0,5100.0,13053,11757.71,10089.0,2,Cluster_2
129,RYR,11915.0,10455.0,1460.0,8925.0,16341,14376.49,22037.0,1,Cluster_1
131,RBD,2055.0,1875.0,180.0,2345.0,3289,2887.89,3757.0,3,Cluster_3
133,RTE,7625.0,6685.0,940.0,5000.0,8592,7413.15,10711.0,0,Cluster_0
134,RN3,4310.0,3805.0,505.0,2985.0,5462,4760.65,4474.0,3,Cluster_3
135,RVJ,7560.0,6730.0,830.0,4530.0,9495,8335.61,7272.0,0,Cluster_0
136,REF,5180.0,4345.0,835.0,4810.0,7004,6184.12,5244.0,3,Cluster_3
137,RH8,8325.0,7275.0,1050.0,7320.0,12834,11113.22,10841.0,2,Cluster_2
138,RD1,4785.0,4435.0,350.0,2775.0,6274,5414.43,7191.0,3,Cluster_3
139,RNZ,2595.0,2320.0,275.0,1775.0,4004,3509.05,3780.0,3,Cluster_3
140,RH5,4470.0,4085.0,385.0,3520.0,10126,8804.71,5915.0,0,Cluster_0
141,RA9,3150.0,2890.0,260.0,3025.0,7058,6040.28,5208.0,3,Cluster_3
142,RA7,7445.0,6515.0,930.0,5970.0,12118,10593.35,12729.0,2,Cluster_2
143,R0D,7500.0,6560.0,940.0,6310.0,9327,8190.21,11498.0,0,Cluster_0
144,RK9,5865.0,5045.0,820.0,4575.0,9988,8800.93,7177.0,0,Cluster_0
145,RA4,2260.0,2060.0,200.0,1485.0,2795,2462.47,5040.0,3,Cluster_3
